INCIDENT_ID;DATE;X_1;X_2;X_3;X_4;X_5;X_6;X_7;X_8;X_9;X_10;X_11;X_13;X_14;X_15;MULTIPLE_OFFENSE
CR_189236;20/6/2017;1;36;34;2;1;15;10;1;5;1;174;92;93;43;1
CR_189156;25/5/2017;0;33;32;2;1;4;2;0;5;1;174;103;93;43;1
CR_184799;7/9/2017;0;4;4;6;5;5;6;0;5;1;174;111;29;43;1
CR_189581;20/12/2017;3;36;34;2;1;9;8;1;5;1;174;92;14;43;1
CR_185125;9/2/2017;0;4;4;6;5;1;0;0;5;1;174;111;93;23;1
CR_196404;4/12/2018;0;36;34;2;1;1;0;1;5;1;174;92;87;43;1
CR_189258;28/7/2017;1;36;34;2;1;15;10;1;5;1;174;103;93;43;1
CR_196307;2/5/2018;0;36;34;2;1;1;0;1;2;1;303;92;93;43;1
CR_195774;5/1/2018;0;33;32;2;1;7;1;0;5;1;174;103;93;43;1
CR_189412;11/11/2017;0;36;34;2;1;1;0;1;1;1;174;92;6;43;1
CR_188163;12/6/2017;0;25;25;9;0;6;4;1;5;1;174;1;29;43;1
CR_196473;1/7/2018;0;36;34;2;1;1;0;1;5;1;174;92;93;43;1
CR_189438;10/8/2017;0;36;34;2;1;1;0;1;5;1;174;92;93;43;1
CR_188861;21/6/2017;7;33;32;2;1;9;8;0;5;1;174;112;29;43;1
CR_192183;8/6/2018;0;4;4;6;5;1;0;1;5;1;174;59;93;23;1
CR_189036;20/11/2017;7;33;32;2;1;9;8;0;5;1;174;92;29;50;1
CR_196393;24/9/2018;0;36;34;2;1;1;0;1;5;1;174;103;62;43;1
CR_195109;1/9/2018;0;25;25;9;0;5;6;1;5;1;174;97;93;43;1
CR_189037;3/10/2017;7;33;32;2;1;9;8;0;5;1;174;112;62;43;1
CR_192658;14/10/2018;0;4;4;6;5;1;0;0;5;1;174;18;62;46;1
CR_196236;22/1/2018;0;36;34;2;1;1;0;1;5;1;174;103;93;43;1
CR_192464;11/12/2018;7;4;4;6;5;9;8;0;5;1;174;110;93;23;1
CR_188616;16/8/2017;0;30;35;7;3;4;2;1;6;1;174;72;119;23;1
CR_189163;7/2/2017;0;33;32;2;1;7;1;0;5;1;174;112;93;43;1
CR_196523;1/12/2018;3;36;34;2;1;9;8;1;5;1;174;92;93;43;1
CR_192857;11/3/2018;1;4;4;6;5;15;10;1;6;1;174;18;53;46;1
CR_195599;21/5/2018;0;33;32;2;1;6;4;0;5;1;174;48;93;0;1
CR_192264;28/9/2018;0;4;4;6;5;1;0;1;5;1;174;111;119;43;1
CR_184823;1/8/2017;0;4;4;6;5;7;1;0;5;1;174;18;29;46;1
CR_196591;25/2/2018;7;36;34;2;1;9;8;1;5;1;174;92;93;43;1
CR_184758;16/8/2017;0;4;4;6;5;5;6;1;5;1;174;18;29;46;1
CR_189351;1/11/2017;0;36;34;2;1;1;0;1;5;1;174;92;93;43;1
CR_186317;21/6/2017;1;9;10;7;3;15;10;0;5;1;174;18;124;46;1
CR_189514;26/3/2017;0;36;34;2;1;1;0;1;5;1;174;92;93;43;1
CR_188495;8/10/2017;0;29;29;9;0;3;5;0;5;1;174;72;119;23;1
CR_189487;17/1/2017;0;36;34;2;1;1;0;1;5;1;174;92;29;43;1
CR_189575;24/8/2017;3;36;34;2;1;9;8;1;5;1;174;92;29;43;1
CR_189568;5/3/2017;0;36;34;2;1;1;0;1;5;1;174;92;130;43;1
CR_196478;25/10/2018;0;36;34;2;1;1;0;1;2;1;303;92;93;43;1
CR_189737;14/10/2017;5;36;34;2;1;18;13;1;5;1;174;92;93;43;1
CR_195283;22/7/2018;0;27;26;1;3;8;3;0;5;1;102;109;87;0;1
CR_188164;17/5/2017;0;25;25;9;0;6;4;1;5;1;174;111;29;23;1
CR_197763;19/1/2018;0;45;45;10;3;2;7;0;5;1;174;98;29;43;1
CR_193292;20/9/2018;0;7;8;7;3;2;7;0;5;1;174;59;29;23;1
CR_184712;8/12/2017;0;3;2;3;5;1;0;0;5;1;174;98;29;0;1
CR_185378;15/2/2017;0;4;4;6;5;4;2;0;5;1;174;111;29;23;1
CR_186147;22/10/2017;0;7;8;7;3;2;7;0;5;1;174;72;130;43;1
CR_188467;14/3/2017;0;29;29;9;0;3;5;1;5;1;174;30;93;46;1
CR_195184;24/10/2018;0;25;25;9;0;3;5;1;5;1;174;110;93;43;1
CR_189469;14/8/2017;0;36;34;2;1;1;0;1;5;1;127;92;124;43;1
CR_185644;9/6/2017;0;4;4;6;5;6;4;0;5;1;174;72;93;46;1
CR_192523;24/8/2018;0;4;4;6;5;7;1;0;5;1;174;18;62;46;1
CR_185754;14/12/2017;1;4;4;6;5;17;11;0;5;1;174;110;29;23;1
CR_189180;24/3/2017;0;33;32;2;1;4;2;0;5;1;174;18;133;46;1
CR_197172;15/5/2018;0;40;40;2;1;1;0;1;6;1;174;72;130;43;1
CR_189530;7/4/2017;0;36;34;2;1;1;0;1;5;1;174;103;93;43;1
CR_188786;27/8/2017;0;33;32;2;1;6;4;0;5;1;174;67;93;0;1
CR_188863;19/12/2017;7;33;32;2;1;9;8;0;5;1;174;112;93;43;1
CR_189611;24/2/2017;1;36;34;2;1;16;12;1;5;4;127;103;29;43;1
CR_188758;27/6/2017;0;33;32;2;1;7;1;0;5;1;174;92;93;50;1
CR_189259;23/1/2017;1;36;34;2;1;15;10;1;5;1;174;92;93;43;1
CR_184766;5/9/2017;0;4;4;6;5;5;6;0;5;1;174;111;29;23;1
CR_196123;15/11/2018;7;35;30;3;5;9;8;0;5;1;174;110;93;23;1
CR_195781;17/9/2018;0;33;32;2;1;6;4;0;5;1;174;18;93;43;1
CR_189378;24/9/2017;0;36;34;2;1;1;0;1;5;1;174;103;93;43;1
CR_185386;18/8/2017;0;4;4;6;5;4;2;5;6;1;174;111;29;23;1
CR_192484;16/7/2018;0;4;4;6;5;6;4;1;5;1;174;18;133;46;1
CR_196511;26/5/2018;3;36;34;2;1;9;8;1;5;1;174;92;93;43;1
CR_196539;28/5/2018;0;36;34;2;1;5;6;1;5;1;174;103;93;43;1
CR_185565;15/4/2017;0;4;4;6;5;1;0;0;5;1;174;116;87;0;1
CR_196512;18/1/2018;3;36;34;2;1;9;8;1;5;1;174;92;29;43;1
CR_186091;17/7/2017;0;7;8;7;3;2;7;1;5;1;174;24;142;43;1
CR_186285;28/2/2017;0;9;10;7;3;7;1;1;6;1;174;114;29;43;1
CR_189030;12/4/2017;7;33;32;2;1;9;8;0;5;1;174;112;62;43;1
CR_189402;23/12/2017;0;36;34;2;1;1;0;1;5;1;174;103;93;43;1
CR_196243;1/4/2018;0;36;34;2;1;1;0;1;5;1;174;103;93;43;1
CR_193408;11/6/2018;1;9;10;7;3;15;10;1;6;1;174;116;14;0;1
CR_189601;19/6/2017;3;36;34;2;1;9;8;1;5;1;174;92;29;43;1
CR_196315;24/5/2018;0;36;34;2;1;1;0;1;5;1;174;92;93;43;1
CR_188193;18/4/2017;0;25;25;9;0;3;5;1;5;1;174;18;53;46;1
CR_193419;22/1/2018;0;9;10;7;3;3;5;1;5;1;174;103;142;43;1
CR_191815;3/6/2018;0;3;2;3;5;1;0;0;5;1;174;113;93;0;1
CR_196399;12/11/2018;0;36;34;2;1;1;0;1;5;1;174;92;93;0;1
CR_196519;23/7/2018;3;36;34;2;1;9;8;1;5;1;174;92;93;43;1
CR_192160;31/1/2018;0;4;4;6;5;1;0;1;5;1;174;84;62;0;1
CR_186403;20/1/2017;0;11;11;7;3;3;5;0;5;1;174;103;62;43;1
CR_193227;28/8/2018;0;7;8;7;3;2;7;0;5;1;174;116;107;0;1
CR_190688;9/3/2017;0;45;45;10;3;9;8;1;5;1;174;109;62;0;1
CR_186166;24/11/2017;0;7;8;7;3;2;7;0;5;1;174;59;130;23;1
CR_196036;29/11/2018;0;33;32;2;1;6;4;1;6;1;174;111;29;43;1
CR_185290;25/2/2017;0;4;4;6;5;4;2;1;5;1;174;18;53;46;1
CR_186105;18/8/2017;0;7;8;7;3;2;7;0;5;1;174;103;29;43;1
CR_196358;24/10/2018;0;36;34;2;1;1;0;1;5;1;174;92;93;43;1
CR_192506;19/8/2018;0;4;4;6;5;5;6;1;6;1;174;111;119;23;1
CR_193316;25/7/2018;0;7;8;7;3;2;7;0;5;1;174;103;142;43;1
CR_192566;1/2/2018;0;4;4;6;5;2;7;0;5;1;174;92;29;0;1
CR_184833;24/10/2017;0;4;4;6;5;5;6;0;5;1;174;109;14;0;1
CR_196433;18/8/2018;0;36;34;2;1;1;0;1;5;1;174;18;129;46;1
CR_191908;3/3/2018;0;4;4;6;5;4;2;1;2;1;174;18;130;46;1
CR_191751;7/2/2018;0;3;2;3;5;1;0;0;5;1;174;88;40;23;1
CR_195147;13/8/2018;7;25;25;9;0;9;8;1;5;1;174;110;29;43;1
CR_186161;22/11/2017;0;7;8;7;3;2;7;0;5;1;174;10;130;43;1
CR_189007;28/8/2017;0;33;32;2;1;6;4;0;5;1;174;92;119;50;1
CR_184862;23/7/2017;0;4;4;6;5;6;4;0;5;1;174;72;29;0;1
CR_189235;22/6/2017;1;36;34;2;1;15;10;1;5;1;174;92;29;43;1
CR_195559;26/4/2018;0;33;32;2;1;8;3;0;5;1;174;110;93;23;1
CR_186242;27/9/2017;0;9;10;7;3;4;2;2;5;1;174;10;93;0;1
CR_195662;13/4/2018;0;33;32;2;1;6;4;0;5;1;174;111;29;43;1
CR_196125;8/10/2018;0;35;30;3;5;3;5;0;5;1;174;18;93;0;1
CR_189505;11/2/2017;0;36;34;2;1;1;0;1;5;1;174;92;93;43;1
CR_192929;30/4/2018;0;4;4;6;5;5;6;0;5;1;174;111;93;23;1
CR_188734;8/9/2017;0;33;32;2;1;6;4;0;5;1;174;112;93;43;1
CR_186327;30/5/2017;1;9;10;7;3;15;10;0;5;1;174;18;129;0;1
CR_195178;17/1/2018;0;25;25;9;0;3;5;1;2;1;102;110;53;43;1
CR_188752;22/9/2017;0;33;32;2;1;7;1;0;5;1;174;92;93;50;1
CR_196431;17/9/2018;0;36;34;2;1;1;0;1;5;1;174;92;93;0;1
CR_184961;29/9/2017;0;4;4;6;5;4;2;0;5;1;174;18;138;46;1
CR_192853;2/10/2018;1;4;4;6;5;15;10;0;5;1;174;72;130;43;1
CR_196253;22/4/2018;0;36;34;2;1;1;0;1;5;1;174;92;93;43;1
CR_189541;13/5/2017;0;36;34;2;1;1;0;1;5;1;174;103;93;43;1
CR_188476;24/4/2017;0;29;29;9;0;3;5;3;5;1;174;102;29;0;1
CR_188725;8/11/2017;0;33;32;2;1;7;1;0;5;1;174;112;93;43;1
CR_189418;4/10/2017;0;36;34;2;1;1;0;1;5;1;174;92;93;0;1
CR_189439;11/12/2017;0;36;34;2;1;1;0;1;2;1;303;92;62;43;1
CR_190326;7/10/2017;5;40;40;2;1;16;12;1;6;1;174;112;93;43;1
CR_195535;28/9/2018;0;33;32;2;1;7;1;0;5;1;174;18;93;23;1
CR_192793;11/7/2018;1;4;4;6;5;16;12;0;5;1;174;59;29;23;1
CR_186104;24/8/2017;0;7;8;7;3;2;7;0;5;1;174;24;29;23;1
CR_188904;14/1/2017;0;33;32;2;1;5;6;0;5;1;174;72;29;43;1
CR_196239;21/1/2018;0;36;34;2;1;1;0;1;5;1;174;92;93;43;1
CR_196147;4/9/2018;1;36;34;2;1;15;10;1;5;1;174;92;93;0;1
CR_185437;31/1/2017;0;4;4;6;5;3;5;0;5;1;127;24;29;0;1
CR_189359;4/12/2017;0;36;34;2;1;1;0;1;5;1;174;92;93;43;1
CR_192562;20/6/2018;1;4;4;6;5;15;10;0;5;1;174;42;93;0;1
CR_189127;26/1/2017;0;33;32;2;1;6;4;0;5;1;174;112;93;43;1
CR_188947;20/2/2017;0;33;32;2;1;6;4;0;5;1;174;116;119;0;1
CR_191746;22/1/2018;0;3;2;3;5;1;0;0;5;1;174;48;29;0;1
CR_189623;11/7/2017;1;36;34;2;1;15;10;3;3;1;174;103;87;43;1
CR_196527;1/9/2018;3;36;34;2;1;9;8;1;5;1;174;92;93;43;1
CR_189682;30/3/2017;0;36;34;2;1;7;1;1;5;1;174;92;93;43;1
CR_196387;21/8/2018;0;36;34;2;1;1;0;1;5;1;174;103;93;43;1
CR_189245;6/9/2017;1;36;34;2;1;15;10;1;5;1;174;92;93;43;1
CR_186152;15/11/2017;0;7;8;7;3;2;7;1;6;1;174;72;130;43;1
CR_188900;10/5/2017;0;33;32;2;1;8;3;0;5;1;174;92;29;50;1
CR_184703;23/12/2017;0;3;2;3;5;1;0;0;5;1;174;54;97;23;1
CR_189363;3/12/2017;0;36;34;2;1;1;0;1;6;1;174;92;93;43;1
CR_195828;7/12/2018;0;33;32;2;1;7;1;0;5;1;174;59;93;23;1
CR_196588;6/11/2018;7;36;34;2;1;9;8;1;5;1;174;92;93;43;1
CR_196367;3/11/2018;0;36;34;2;1;1;0;1;5;1;174;92;29;43;1
CR_186326;15/5/2017;1;9;10;7;3;15;10;0;5;1;174;111;29;0;1
CR_196572;13/3/2018;0;36;34;2;1;4;2;1;5;1;174;103;29;43;1
CR_189424;27/12/2017;0;36;34;2;1;1;0;1;5;1;174;92;93;43;1
CR_189574;1/8/2017;3;36;34;2;1;9;8;1;5;1;174;92;29;43;1
CR_188407;15/7/2017;0;27;26;1;3;6;4;3;2;1;290;67;133;0;1
CR_193297;27/9/2018;0;7;8;7;3;2;7;1;5;1;174;113;140;43;1
CR_193309;21/7/2018;0;7;8;7;3;2;7;0;5;1;174;84;130;23;1
CR_193429;3/12/2018;0;9;10;7;3;5;6;1;5;1;174;92;93;46;1
CR_196525;30/9/2018;3;36;34;2;1;9;8;1;5;1;174;92;29;43;1
CR_196233;23/1/2018;0;36;34;2;1;1;0;1;5;1;174;103;93;43;1
CR_184634;4/1/2017;0;3;2;3;5;1;0;1;3;1;174;18;53;46;1
